2525Charlie1stTen,2525Charlie,2525DeltaSymbolSet,2525DeltaEntity,2525DeltaMod1,2525DeltaMod2,Remarks
SUGPUUMJ--,SUGPUUMJ--*****,10,150900,00,00,
SUGPUUM---,SUGPUUM---*****,10,151000,00,00,
SUGPUUMA--,SUGPUUMA--*****,10,151000,01,00,
SUGPUUMO--,SUGPUUMO--*****,10,151000,49,00,
SUGPUUMS--,SUGPUUMS--*****,10,151000,57,00,
SUGPUUMRG-,SUGPUUMRG-*****,10,151000,50,00,
SUGPUUMRS-,SUGPUUMRS-*****,10,151000,55,00,
SUGPUUMRSS,SUGPUUMRSS*****,10,151000,56,00,
SUGPUUMRX-,SUGPUUMRX-*****,10,151000,28,00,
SUGPUUMMO-,SUGPUUMMO-*****,10,151000,32,00,
SUGPUUMT--,SUGPUUMT--*****,10,151000,66,00,
,,10,151095,00,00,
SUGPUUMSET,SUGPUUMSET*****,10,151097,00,00,
SUGPUUMSEC,SUGPUUMSEC*****,10,151098,00,00,
,,10,151100,00,00,
,,10,151200,00,00,
,,10,160000,00,00,
SUGPUSA---,SUGPUSA---*****,10,160100,00,00,
SUGPUSAC--,SUGPUSAC--*****,10,160197,00,00,
SUGPUSAT--,SUGPUSAT--*****,10,160198,00,00,
,,10,160200,00,00,
SUGPUSTA--,SUGPUSTA--*****,10,160300,00,00,
SUGPUSTAC-,SUGPUSTAC-*****,10,160397,00,00,
SUGPUSTAT-,SUGPUSTAT-*****,10,160398,00,00,
,,10,160400,00,00,
,,10,160500,00,00,
SUGPUS----,SUGPUS----*****,10,160600,00,00,
SUGPUSAF--,SUGPUSAF--*****,10,160700,00,00,
SUGPUSAFC-,SUGPUSAFC-*****,10,160797,00,00,
SUGPUSAFT-,SUGPUSAFT-*****,10,160798,00,00,
SUGPUSAJ--,SUGPUSAJ--*****,10,160800,00,00,
SUGPUSAJC-,SUGPUSAJC-*****,10,160897,00,00,
SUGPUSAJT-,SUGPUSAJT-*****,10,160898,00,00,
SUGPUSAL--,SUGPUSAL--*****,10,160900,00,00,
SUGPUSALC-,SUGPUSALC-*****,10,160997,00,00,
SUGPUSALT-,SUGPUSALT-*****,10,160998,00,00,
SUGPUSSL--,SUGPUSSL--*****,10,161000,00,00,
SUGPUSSLC-,SUGPUSSLC-*****,10,161097,00,00,
SUGPUSSLT-,SUGPUSSLT-*****,10,161098,00,00,
SUGPUSX---,SUGPUSX---*****,10,161100,00,00,
SUGPUSXH--,SUGPUSXH--*****,10,161100,00,15,
SUGPUSXE--,SUGPUSXE--*****,10,161100,22,00,
SUGPUSXOM-,SUGPUSXOM-*****,10,161100,34,00,
,,10,161195,00,00,
SUGPUSXC--,SUGPUSXC--*****,10,161197,00,00,
SUGPUSXT--,SUGPUSXT--*****,10,161198,00,00,
SUGPUSXHC-,SUGPUSXHC-*****,10,161197,00,15,
SUGPUSXHT-,SUGPUSXHT-*****,10,161198,00,15,
SUGPUSXEC-,SUGPUSXEC-*****,10,161197,34,00,
SUGPUSXET-,SUGPUSXET-*****,10,161198,34,00,
SUGPUSXOMC,SUGPUSXOMC*****,10,161197,34,00,
SUGPUSXOMT,SUGPUSXOMT*****,10,161198,34,00,
,,10,161200,00,00,
SUGPUSM---,SUGPUSM---*****,10,161300,00,00,
SUGPUSMD--,SUGPUSMD--*****,10,161300,00,11,
SUGPUSMP--,SUGPUSMP--*****,10,161300,00,34,
SUGPUSMV--,SUGPUSMV--*****,10,161300,00,50,
,,10,161395,00,00,
SUGPUSMC--,SUGPUSMC--*****,10,161397,00,00,
SUGPUSMT--,SUGPUSMT--*****,10,161398,00,00,
SUGPUSMDC-,SUGPUSMDC-*****,10,161497,00,11,
SUGPUSMDT-,SUGPUSMDT-*****,10,161498,00,11,
SUGPUSMPC-,SUGPUSMPC-*****,10,161497,00,34,
SUGPUSMPT-,SUGPUSMPT-*****,10,161498,00,34,
SUGPUSMVC-,SUGPUSMVC-*****,10,161497,00,50,
SUGPUSMVT-,SUGPUSMVT-*****,10,161498,00,50,
SUGPUSMM--,SUGPUSMM--*****,10,161400,00,00,
SUGPUSMMC-,SUGPUSMMC-*****,10,161497,00,00,
SUGPUSMMT-,SUGPUSMMT-*****,10,161498,00,00,
SUGPUSAW--,SUGPUSAW--*****,10,161500,00,00,
SUGPUSAWC-,SUGPUSAWC-*****,10,161597,00,00,
SUGPUSAWT-,SUGPUSAWT-*****,10,161598,00,00,
SUGPUSAM--,SUGPUSAM--*****,10,161600,00,00,
SUGPUSAMC-,SUGPUSAMC-*****,10,161697,00,00,
SUGPUSAMT-,SUGPUSAMT-*****,10,161698,00,00,
,,10,161700,00,00,
,,10,161800,00,00,
,,10,161900,00,00,
,,10,162000,00,00,
,,10,162100,00,00,
,,10,162200,00,00,
SUGPUSXO--,SUGPUSXO--*****,10,162300,00,00,
,,10,162395,00,00,
SUGPUSXOC-,SUGPUSXOC-*****,10,162397,00,00,
SUGPUSXOT-,SUGPUSXOT-*****,10,162398,00,00,
SUGPUSAS--,SUGPUSAS--*****,10,162400,00,00,
,,10,162495,00,00,
SUGPUSASC-,SUGPUSASC-*****,10,162497,00,00,
SUGPUSAST-,SUGPUSAST-*****,10,162498,00,00,
,,10,162500,00,00,
,,10,162600,00,00,
SUGPUSAO--,SUGPUSAO--*****,10,162700,00,00,
SUGPUSAOC-,SUGPUSAOC-*****,10,162797,00,00,
SUGPUSAOT-,SUGPUSAOT-*****,10,162798,00,00,
SUGPUSAP--,SUGPUSAP--*****,10,162800,00,00,
SUGPUSAPC-,SUGPUSAPC-*****,10,162897,00,00,
SUGPUSAPT-,SUGPUSAPT-*****,10,162898,00,00,
SUGPUSAQ--,SUGPUSAQ--*****,10,162900,00,00,
,,10,162995,00,00,
SUGPUSAQC-,SUGPUSAQC-*****,10,162997,00,00,
SUGPUSAQT-,SUGPUSAQT-*****,10,162998,00,00,
SUGPUSTR--,SUGPUSTR--*****,10,163000,00,00,
SUGPUSTRC-,SUGPUSTRC-*****,10,163097,00,00,
SUGPUSTRT-,SUGPUSTRT-*****,10,163098,00,00,
SUGPUSAR--,SUGPUSAR--*****,10,163100,00,00,
SUGPUSART-,SUGPUSART-*****,10,163197,00,00,
SUGPUSARC-,SUGPUSARC-*****,10,163198,00,00,
SUGPUSAX--,SUGPUSAX--*****,10,163200,00,00,
SUGPUSAXC-,SUGPUSAXC-*****,10,163297,00,00,
SUGPUSAXT-,SUGPUSAXT-*****,10,163298,00,00,
SUGPUSTS--,SUGPUSTS--*****,10,163300,00,00,
SUGPUSTSC-,SUGPUSTSC-*****,10,163397,00,00,
SUGPUSTST-,SUGPUSTST-*****,10,163398,00,00,
SUGPUSS---,SUGPUSS---*****,10,163400,00,00,
SUGPUSSC--,SUGPUSSC--*****,10,163497,00,00,
SUGPUSST--,SUGPUSST--*****,10,163498,00,00,
SUGPUSAPM-,SUGPUSAPM-*****,10,163500,00,00,
SUGPUSAPMC,SUGPUSAPMC*****,10,163597,00,00,
SUGPUSAPMT,SUGPUSAPMT*****,10,163598,00,00,
SUGPUST---,SUGPUST---*****,10,163600,00,00,
SUGPUSTI--,SUGPUSTI--*****,10,163600,34,00,
SUGPUSTM--,SUGPUSTM--*****,10,163600,38,00,
SUGPUSTC--,SUGPUSTC--*****,10,163697,00,00,
SUGPUSTT--,SUGPUSTT--*****,10,163698,00,00,
SUGPUSTIC-,SUGPUSTIC-*****,10,163698,34,00,
SUGPUSTIT-,SUGPUSTIT-*****,10,163698,34,00,
SUGPUSTMC-,SUGPUSTMC-*****,10,163698,38,00,
SUGPUSTMT-,SUGPUSTMT-*****,10,163698,38,00,
SUGPUSS1--,SUGPUSS1--*****,10,163700,00,00,
SUGPUSS1C-,SUGPUSS1C-*****,10,163797,00,00,
SUGPUSS1T-,SUGPUSS1T-*****,10,163798,00,00,
SUGPUSS2--,SUGPUSS2--*****,10,163800,00,00,
SUGPUSS2C-,SUGPUSS2C-*****,10,163897,00,00,
SUGPUSS2T-,SUGPUSS2T-*****,10,163898,00,00,
SUGPUSS3--,SUGPUSS3--*****,10,163900,00,00,
SUGPUSS3A-,SUGPUSS3A-*****,10,163900,78,00,
SUGPUSS3C-,SUGPUSS3C-*****,10,163997,00,00,
SUGPUSS3T-,SUGPUSS3T-*****,10,163998,00,00,
SUGPUSS4--,SUGPUSS4--*****,10,164000,00,00,
SUGPUSS4C-,SUGPUSS4C-*****,10,164097,00,00,
SUGPUSS4T-,SUGPUSS4T-*****,10,164098,00,00,
SUGPUSS5--,SUGPUSS5--*****,10,164100,00,00,
SUGPUSS5C-,SUGPUSS5C-*****,10,164197,00,00,
SUGPUSS5T-,SUGPUSS5T-*****,10,164198,00,00,
SUGPUSS6--,SUGPUSS6--*****,10,164200,00,00,
SUGPUSS6C-,SUGPUSS6C-*****,10,164297,00,00,
SUGPUSS6T-,SUGPUSS6T-*****,10,164298,00,00,
SUGPUSS7--,SUGPUSS7--*****,10,164300,00,00,
SUGPUSS7C-,SUGPUSS7C-*****,10,164397,00,00,
SUGPUSS7T-,SUGPUSS7T-*****,10,164398,00,00,
SUGPUSS8--,SUGPUSS8--*****,10,164400,00,00,
SUGPUSS8C-,SUGPUSS8C-*****,10,164497,00,00,
SUGPUSS8T-,SUGPUSS8T-*****,10,164498,00,00,
SUGPUSS9--,SUGPUSS9--*****,10,164500,00,00,
SUGPUSS9C-,SUGPUSS9C-*****,10,164597,00,00,
SUGPUSS9T-,SUGPUSS9T-*****,10,164598,00,00,
SUGPUSSX--,SUGPUSSX--*****,10,164600,00,00,
SUGPUSSXC-,SUGPUSSXC-*****,10,164697,00,00,
SUGPUSSXT-,SUGPUSSXT-*****,10,164698,00,00,
SUGPUSSW--,SUGPUSSW--*****,10,164700,00,00,
SUGPUSSWC-,SUGPUSSWC-*****,10,164797,00,00,
SUGPUSSWT-,SUGPUSSWT-*****,10,164798,00,00,
SUGPUSSWP-,SUGPUSSWP-*****,10,164800,00,00,
SUGPUSSWPC,SUGPUSSWPC*****,10,164897,00,00,
SUGPUSSWPT,SUGPUSSWPT*****,10,164898,00,00,
SUGPUSAPB-,SUGPUSAPB-*****,10,164900,00,00,
SUGPUSAPBC,SUGPUSAPBC*****,10,164997,00,00,
SUGPUSAPBT,SUGPUSAPBT*****,10,164998,00,00,
,,10,170000,00,00,
,,10,170100,00,00,
SUFPN-----,SUFPN-----*****,10,170100,63,00,
,,10,180000,00,00,
,,10,180100,00,00,
,,10,180200,00,00,
,,10,180300,00,00,
,,10,180400,00,00,
EUOPBA----,EUOPBA----*****,10,190000,00,00,
,,10,190100,00,00,
EUOPDA----,EUOPDA----*****,10,200000,00,00,
,,10,200100,00,00,
,,10,200200,00,00,
,,10,200300,00,00,
,,10,200400,00,00,
,,10,200500,00,00,
,,10,200600,00,00,
SUGPUULC--,SUGPUULC--*****,10,200700,00,00,
,,10,200800,00,00,
,,10,200900,00,00,
,,10,201000,00,00,
,,10,201100,00,00,
,,10,201200,00,00,
,,10,201300,00,00,
,,11,110000,00,00,
,,11,110100,00,00,
,,11,110200,00,00,
OUPP------,OUPP------*****,11,110300,00,00,
OUOPK-----,OUOPK-----*****,11,110300,05,00,
OUPPA-----,OUPPA-----*****,11,110300,13,00,
OURP------,OURP------*****,11,110300,07,00,
OUPPB-----,OUPPB-----*****,11,110300,18,00,
OUPPC-----,OUPPC-----*****,11,110300,19,00,
OUGP------,OUGP------*****,11,110400,00,00,
OUGPA-----,OUGPA-----*****,11,110400,09,00,
OUGPE-----,OUGPE-----*****,11,110400,10,00,
OUGPF-----,OUGPF-----*****,11,110400,11,00,
OUGPB-----,OUGPB-----*****,11,110400,14,00,
OUGPD-----,OUGPD-----*****,11,110400,17,00,
OUGPC-----,OUGPC-----*****,11,110400,18,00,
EUIPBD----,EUIPBD----*****,11,110400,24,00,
,,11,110500,00,00,
,,11,110600,00,00,
,,11,110700,00,00,
,,11,110800,00,00,
OUOPC-----,OUOPC-----*****,11,110900,00,00,
OUOPCB----,OUOPCB----*****,11,110900,21,00,
OUOPCA----,OUOPCA----*****,11,110900,22,00,
OUOPCC----,OUOPCC----*****,11,110900,23,00,
EUOPAA----,EUOPAA----*****,11,111000,00,00,
,,15,110000,00,00,
SUGPEWR---,SUGPEWR---*****,15,110100,00,00,
SUGPEWRR--,SUGPEWRR--*****,15,110101,00,00,
SUGPEWRL--,SUGPEWRL--*****,15,110102,00,00,
SUGPEWRH--,SUGPEWRH--*****,15,110103,00,00,
,,15,110200,00,00,
,,15,110201,00,00,
,,15,110202,00,00,
,,15,110203,00,00,
SUGPEWZ---,SUGPEWZ---*****,15,110300,00,00,
SUGPEWZL--,SUGPEWZL--*****,15,110301,00,00,
SUGPEWZM--,SUGPEWZM--*****,15,110302,00,00,
SUGPEWZH--,SUGPEWZH--*****,15,110303,00,00,
SUGPEXF---,SUGPEXF---*****,15,110400,00,00,
SUGPEWA---,SUGPEWA---*****,15,110500,00,00,
SUGPEWAL--,SUGPEWAL--*****,15,110501,00,00,
SUGPEWAM--,SUGPEWAM--*****,15,110502,00,00,
SUGPEWAH--,SUGPEWAH--*****,15,110503,00,00,
SUGPEWG---,SUGPEWG---*****,15,110600,00,00,
SUGPEWGL--,SUGPEWGL--*****,15,110601,00,00,
SUGPEWGM--,SUGPEWGM--*****,15,110602,00,00,
SUGPEWGH--,SUGPEWGH--*****,15,110603,00,00,
SUGPEWD---,SUGPEWD---*****,15,110700,00,00,
SUGPEWDL--,SUGPEWDL--*****,15,110701,00,00,
SUGPEWDM--,SUGPEWDM--*****,15,110702,00,00,
SUGPEWDH--,SUGPEWDH--*****,15,110703,00,00,
SUGPEWGR--,SUGPEWGR--*****,15,110800,00,00,
,,15,110801,00,00,
,,15,110802,00,00,
,,15,110803,00,00,
SUGPEWH---,SUGPEWH---*****,15,110900,00,00,
SUGPEWHL--,SUGPEWHL--*****,15,110901,00,00,
SUGPEWHM--,SUGPEWHM--*****,15,110902,00,00,
SUGPEWHH--,SUGPEWHH--*****,15,110903,00,00,
SUGPEWM---,SUGPEWM---*****,15,111000,00,00,
,,15,111001,00,00,
,,15,111002,00,00,
,,15,111003,00,00,
SUGPEWMA--,SUGPEWMA--*****,15,111100,00,00,
SUGPEWMAS-,SUGPEWMAS-*****,15,111101,00,00,
SUGPEWMASR,SUGPEWMASR*****,15,111102,00,00,
SUGPEWMASE,SUGPEWMASE*****,15,111103,00,00,
SUGPEWMAI-,SUGPEWMAI-*****,15,111104,00,00,
SUGPEWMAIR,SUGPEWMAIR*****,15,111105,00,00,
SUGPEWMAIE,SUGPEWMAIE*****,15,111106,00,00,
SUGPEWMAL-,SUGPEWMAL-*****,15,111107,00,00,
SUGPEWMALR,SUGPEWMALR*****,15,111108,00,00,
SUGPEWMALE,SUGPEWMALE*****,15,111109,00,00,
SUGPEWMAT-,SUGPEWMAT-*****,15,111198,00,00,
SUGPEWMT--,SUGPEWMT--*****,15,111200,00,00,
SUGPEWMTL-,SUGPEWMTL-*****,15,111201,00,00,
SUGPEWMTM-,SUGPEWMTM-*****,15,111202,00,00,
SUGPEWMTH-,SUGPEWMTH-*****,15,111203,00,00,
SUGPEWMS--,SUGPEWMS--*****,15,111300,00,00,
SUGPEWMSS-,SUGPEWMSS-*****,15,111301,00,00,
SUGPEWMSI-,SUGPEWMSI-*****,15,111302,00,00,
SUGPEWMSL-,SUGPEWMSL-*****,15,111303,00,00,
SUGPEWO---,SUGPEWO---*****,15,111400,00,00,
SUGPEWOL--,SUGPEWOL--*****,15,111401,00,00,
SUGPEWOM--,SUGPEWOM--*****,15,111402,00,00,
SUGPEWOH--,SUGPEWOH--*****,15,111403,00,00,
SUGPEWS---,SUGPEWS---*****,15,111500,00,00,
SUGPEWSL--,SUGPEWSL--*****,15,111501,00,00,
SUGPEWSM--,SUGPEWSM--*****,15,111502,00,00,
SUGPEWSH--,SUGPEWSH--*****,15,111503,00,00,
SUGPEWX---,SUGPEWX---*****,15,111600,00,00,
SUGPEWXL--,SUGPEWXL--*****,15,111601,00,00,
SUGPEWXM--,SUGPEWXM--*****,15,111602,00,00,
SUGPEWXH--,SUGPEWXH--*****,15,111603,00,00,
SUGPEWT---,SUGPEWT---*****,15,111700,00,00,
SUGPEWTL--,SUGPEWTL--*****,15,111701,00,00,
SUGPEWTM--,SUGPEWTM--*****,15,111702,00,00,
SUGPEWTH--,SUGPEWTH--*****,15,111703,00,00,
,,15,111800,00,00,
,,15,111900,00,00,
,,15,112000,00,00,
SUGPEV----,SUGPEV----*****,15,120000,00,00,
SUGPEVA---,SUGPEVA---*****,15,120100,00,00,
SUGPEVAI--,SUGPEVAI--*****,15,120101,00,00,
SUGPEVAC--,SUGPEVAC--*****,15,120102,00,00,
SUGPEVAA--,SUGPEVAA--*****,15,120103,00,00,
SUGPEVUAA-,SUGPEVUAA-*****,15,120104,00,00,
,,15,120105,00,00,
,,15,120106,00,00,
,,15,120107,00,00,
SUGPEVAAR-,SUGPEVAAR-*****,15,120108,00,00,
SUGPEVAS--,SUGPEVAS--*****,15,120109,00,00,
SUGPEVAL--,SUGPEVAL--*****,15,120110,00,00,
SUGPEVAT--,SUGPEVAT--*****,15,120200,00,00,
SUGPEVATL-,SUGPEVATL-*****,15,120201,00,00,
SUGPEVATM-,SUGPEVATM-*****,15,120202,00,00,
SUGPEVATH-,SUGPEVATH-*****,15,120203,00,00,
,,15,120300,00,00,
SUGPEVATLR,SUGPEVATLR*****,15,120301,00,00,
SUGPEVATMR,SUGPEVATMR-*****,15,120302,00,00,
SUGPEVATHR,SUGPEVATHR*****,15,120303,00,00,
SUGPEVE---,SUGPEVE---*****,15,130000,00,00,
SUGPEVEB--,SUGPEVEB--*****,15,130100,00,00,
,,15,130200,00,00,
,,15,130300,00,00,
,,15,130400,00,00,
,,15,130500,00,00,
,,15,130600,00,00,
,,15,130700,00,00,
,,15,130701,00,00,
SUGPEVEE--,SUGPEVEE--*****,15,130800,00,00,
,,15,130801,00,00,
SUGPEVEA--,SUGPEVEA--*****,15,130900,00,00,
SUGPEVEAT-,SUGPEVEAT-*****,15,130901,00,00,
SUGPEVEAA-,SUGPEVEAA-*****,15,130902,00,00,
,,15,131000,00,00,
,,15,131001,00,00,
SUGPEVEMV-,SUGPEVEMV-*****,15,131002,00,00,
SUGPEVEML-,SUGPEVEML-*****,15,131003,00,00,
SUGPEVED--,SUGPEVED--*****,15,131100,00,00,
SUGPEVEDA-,SUGPEVEDA-*****,15,131101,00,00,
SUGPEVES--,SUGPEVES--*****,15,131200,00,00,
SUGPEVER--,SUGPEVER--*****,15,131300,00,00,
SUGPEVEH--,SUGPEVEH--*****,15,131400,00,00,
SUGPEVEC--,SUGPEVEC--*****,15,131500,00,00,
SUGPEVEF--,SUGPEVEF--*****,15,131600,00,00,
,,15,140000,00,00,
SUGPEVU---,SUGPEVU---*****,15,140100,00,00,
,,15,140200,00,00,
SUGPEVUA--,SUGPEVUA--*****,15,140300,00,00,
,,15,140400,00,00,
SUGPEVUB--,SUGPEVUB--*****,15,140500,00,00,
SUGPEVUS--,SUGPEVUS--*****,15,140600,00,00,
SUGPEVUSL-,SUGPEVUSL-*****,15,140601,00,00,
SUGPEVUSM-,SUGPEVUSM-*****,15,140602,00,00,
SUGPEVUSH-,SUGPEVUSH-*****,15,140603,00,00,
SUGPEVUL--,SUGPEVUL--*****,15,140700,00,00,
SUGPEVUX--,SUGPEVUX--*****,15,140800,00,00,
,,15,140900,00,00,
,,15,141000,00,00,
SUGPEVUR--,SUGPEVUR--*****,15,141100,00,00,
SUGPEVUT--,SUGPEVUT--*****,15,141200,00,00,
SUGPEVUTL-,SUGPEVUTL-*****,15,141201,00,00,
SUGPEVUTH-,SUGPEVUTH-*****,15,141202,00,00,
,,15,150000,00,00,
SUGPEVT---,SUGPEVT---*****,15,150100,00,00,
,,15,150200,00,00,
,,15,160000,00,00,
SUGPEVCA--,SUGPEVCA--*****,15,160100,00,00,
SUGPEVCAL-,SUGPEVCAL-*****,15,160101,00,00,
SUGPEVCAM-,SUGPEVCAM-*****,15,160102,00,00,
SUGPEVCAH-,SUGPEVCAH-*****,15,160103,00,00,
SUGPEVCO--,SUGPEVCO--*****,15,160200,00,00,
SUGPEVCOL-,SUGPEVCOL-*****,15,160201,00,00,
SUGPEVCOM-,SUGPEVCOM-*****,15,160202,00,00,
SUGPEVCOH-,SUGPEVCOH-*****,15,160203,00,00,
SUGPEVCM--,SUGPEVCM--*****,15,160300,00,00,
SUGPEVCML-,SUGPEVCML-*****,15,160301,00,00,
SUGPEVCMM-,SUGPEVCMM-*****,15,160302,00,00,
SUGPEVCMH-,SUGPEVCMH-*****,15,160303,00,00,
SUGPEVCU--,SUGPEVCU--*****,15,160400,00,00,
SUGPEVCUL-,SUGPEVCUL-*****,15,160401,00,00,
SUGPEVCUM-,SUGPEVCUM-*****,15,160402,00,00,
SUGPEVCUH-,SUGPEVCUH-*****,15,160403,00,00,
SUGPEVCJ--,SUGPEVCJ--*****,15,160500,00,00,
SUGPEVCJL-,SUGPEVCJL-*****,15,160501,00,00,
SUGPEVCJM-,SUGPEVCJM-*****,15,160502,00,00,
SUGPEVCJH-,SUGPEVCJH-*****,15,160503,00,00,
SUGPEVCT--,SUGPEVCT--*****,15,160600,00,00,
SUGPEVCTL-,SUGPEVCTL-*****,15,160601,00,00,
SUGPEVCTM-,SUGPEVCTM-*****,15,160602,00,00,
SUGPEVCTH-,SUGPEVCTH-*****,15,160603,00,00,
SUGPEVCF--,SUGPEVCF--*****,15,160700,00,00,
SUGPEVCFL-,SUGPEVCFL-*****,15,160701,00,00,
SUGPEVCFM-,SUGPEVCFM-*****,15,160702,00,00,
SUGPEVCFH-,SUGPEVCFH-*****,15,160703,00,00,
OUIPI-----,OUIPI-----*****,15,160800,00,00,
OUIPD-----,OUIPD-----*****,15,160900,00,00,
EUOPDB----,EUOPDB----*****,15,170000,00,00,
EFOPDDB---,EFOPDDB---*****,15,170100,00,00,
EUOPDEB---,EUOPDEB---*****,15,170200,00,00,
EUOPDFB---,EUOPDFB---*****,15,170300,00,00,
EFOPDGB---,EFOPDGB---*****,15,170400,00,00,
,,15,170500,00,00,
,,15,170600,00,00,
,,15,170700,00,00,
,,15,170800,00,00,
,,15,170900,00,00,
,,15,171000,00,00,
,,15,171100,00,00,
SUGPEVM---,SUGPEVM---*****,15,180000,00,00,
SUGPEVS---,SUGPEVS---*****,15,190000,00,00,
SUGPEVST--,SUGPEVST--*****,15,190100,00,00,
SUGPEVSR--,SUGPEVSR--*****,15,190200,00,00,
SUGPEVSC--,SUGPEVSC--*****,15,190300,00,00,
SUGPEVSP--,SUGPEVSP--*****,15,190400,00,00,
SUGPEVSW--,SUGPEVSW--*****,15,190500,00,00,
,,15,200000,00,00,
,,15,200100,00,00,
,,15,200200,00,00,
,,15,200300,00,00,
SUGPEXN---,SUGPEXN---*****,15,200400,00,00,
,,15,200500,00,00,
,,15,200600,00,00,
,,15,200700,00,00,
,,15,200800,00,00,
,,15,200900,00,00,
SUGPEXL---,SUGPEXL---*****,15,201000,00,00,
,,15,201100,00,00,
,,15,201200,00,00,
,,15,201300,00,00,
,,15,201400,00,00,
EUOPAB----,EUOPAB----*****,15,201500,00,00,
EUOPAF----,EUOPAF----*****,15,201501,00,00,
